Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,API,Score Label,Compute Score,Result URL,Schema
"Nov 06, 2025",Samsung Galaxy S24 Ultra,ARM ARMv8 2265 MHz (8 cores),2265.0,8,Android,OpenCL,OpenCL Score,11356,/v6/compute/5149458,v6-compute
"Nov 06, 2025",vivo V2445EA,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,2508,/v6/compute/5149457,v6-compute
"Nov 06, 2025","iPad14,6",ARM 3481 MHz (8 cores),3481.0,8,iOS,Metal,Metal Score,48111,/v6/compute/5149456,v6-compute
"Nov 06, 2025",Acer Aspire TC-1780,Intel Core i5-13400 2500 MHz (10 cores),2500.0,10,Windows,OpenCL,OpenCL Score,6197,/v6/compute/5149455,v6-compute
"Nov 06, 2025",iPhone 16 Pro Max,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,32546,/v6/compute/5149454,v6-compute
"Nov 06, 2025",motorola motorola edge 60 fusion,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,3183,/v6/compute/5149453,v6-compute
"Nov 06, 2025",iPhone 14 Pro Max,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,Metal,Metal Score,23964,/v6/compute/5149452,v6-compute
"Nov 06, 2025",motorola motorola edge (2022),ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,1698,/v6/compute/5149451,v6-compute
"Nov 06, 2025",iPhone 14 Pro,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,Metal,Metal Score,23783,/v6/compute/5149450,v6-compute
"Nov 06, 2025",Xiaomi M2102J20SI,Qualcomm Qualcomm 1785 MHz (8 cores),1785.0,8,Android,OpenCL,OpenCL Score,2996,/v6/compute/5149449,v6-compute
"Nov 06, 2025",Samsung Galaxy S24 Ultra,ARM ARMv8 2265 MHz (8 cores),2265.0,8,Android,OpenCL,OpenCL Score,14493,/v6/compute/5149448,v6-compute
"Nov 06, 2025",rockchip rk3576_tablet,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,Vulkan,Vulkan Score,1552,/v6/compute/5149447,v6-compute
"Nov 06, 2025",iPhone 15 Pro Max,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,Metal,Metal Score,28462,/v6/compute/5149446,v6-compute
