Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,API,Score Label,Compute Score,Result URL,Schema
"Nov 06, 2025",Xiaomi 22101316UG,ARM MT6877V/TTZA 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,2408,/v6/compute/5152150,v6-compute
"Nov 06, 2025",ASUS System Product Name,AMD Ryzen 9 9950X 4300 MHz (16 cores),4300.0,16,Windows,OpenCL,OpenCL Score,136623,/v6/compute/5152149,v6-compute
"Nov 06, 2025 gcouegnat",System manufacturer System Product Name,Intel Xeon E5-2630 2800 MHz (6 cores),2800.0,6,Linux,OpenCL,OpenCL Score,3993,/v6/compute/5152148,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7B84",AMD Ryzen 5 3600X 3801 MHz (6 cores),3801.0,6,Windows,OpenCL,OpenCL Score,113380,/v6/compute/5152147,v6-compute
"Nov 06, 2025",HP OMEN by HP Gaming Laptop 16-wf1xxx,Intel Core i7-14700HX 2100 MHz (20 cores),2100.0,20,Windows,OpenCL,OpenCL Score,123443,/v6/compute/5152146,v6-compute
"Nov 06, 2025",Xiaomi M2012K11G,ARM Haydn 1804 MHz (8 cores),1804.0,8,Android,Vulkan,Vulkan Score,5516,/v6/compute/5152145,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4254 MHz (6 cores),4254.0,6,iOS,Metal,Metal Score,45718,/v6/compute/5152144,v6-compute
"Nov 06, 2025",vivo V2405A,ARM ARMv8 2400 MHz (8 cores),2400.0,8,Android,OpenCL,OpenCL Score,22516,/v6/compute/5152143,v6-compute
"Nov 06, 2025",OnePlus OPD2415,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,18275,/v6/compute/5152142,v6-compute
"Nov 06, 2025",iPhone 14,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,21309,/v6/compute/5152141,v6-compute
"Nov 06, 2025","iPad Pro (12.9-inch, 6th generation)",Apple M2 3490 MHz (8 cores),3490.0,8,iOS,Metal,Metal Score,48118,/v6/compute/5152140,v6-compute
"Nov 06, 2025",motorola moto g - 2025,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,1450,/v6/compute/5152139,v6-compute
"Nov 06, 2025 neuromask",iPhone 11 Pro Max,Apple A13 Bionic 2660 MHz (6 cores),2660.0,6,iOS,Metal,Metal Score,13895,/v6/compute/5152138,v6-compute
"Nov 06, 2025",iPhone 15 Plus,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,Metal,Metal Score,23584,/v6/compute/5152137,v6-compute
"Nov 06, 2025","iPad Pro (11-inch, 4th generation)",Apple M2 3490 MHz (8 cores),3490.0,8,iOS,Metal,Metal Score,48019,/v6/compute/5152136,v6-compute
"Nov 06, 2025",samsung SM-S938U1,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,20397,/v6/compute/5152135,v6-compute
"Nov 06, 2025",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,27923,/v6/compute/5152134,v6-compute
"Nov 06, 2025",iPhone 16 Pro,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,33387,/v6/compute/5152133,v6-compute
"Nov 06, 2025",Mac Pro (Late 2019),Intel Xeon W-3245 3200 MHz (16 cores),3200.0,16,macOS,OpenCL,OpenCL Score,79364,/v6/compute/5152132,v6-compute
"Nov 06, 2025",Acer Predator PO3-630,Intel Core i7-11700F 2496 MHz (8 cores),2496.0,8,Windows,OpenCL,OpenCL Score,140201,/v6/compute/5152131,v6-compute
"Nov 06, 2025",motorola motorola razr 40 ultra,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,OpenCL,OpenCL Score,3588,/v6/compute/5152130,v6-compute
"Nov 06, 2025",ASUS All Series,Intel Core i5-4670K 3397 MHz (4 cores),3397.0,4,Windows,OpenCL,OpenCL Score,13578,/v6/compute/5152129,v6-compute
"Nov 06, 2025",ASUS System Product Name,Intel Core i5-14400F 2500 MHz (10 cores),2500.0,10,Windows,OpenCL,OpenCL Score,187746,/v6/compute/5152128,v6-compute
"Nov 06, 2025",iPhone 11 Pro Max,Apple A13 Bionic 2660 MHz (6 cores),2660.0,6,iOS,Metal,Metal Score,13895,/v6/compute/5152127,v6-compute
"Nov 06, 2025",iMac (27-inch Retina Late 2015),Intel Core i5-6500 3200 MHz (4 cores),3200.0,4,macOS,OpenCL,OpenCL Score,18212,/v6/compute/5152126,v6-compute
"Nov 06, 2025",iPad Pro 11-inch (M4),Apple M4 4406 MHz (9 cores),4406.0,9,iOS,Metal,Metal Score,55744,/v6/compute/5152125,v6-compute
"Nov 06, 2025","MacBook Pro (14-inch, 2024)",Apple M4 4414 MHz (10 cores),4414.0,10,macOS,Metal,Metal Score,57119,/v6/compute/5152124,v6-compute
"Nov 06, 2025","iPhone18,1",ARM 4252 MHz (6 cores),4252.0,6,iOS,Metal,Metal Score,45197,/v6/compute/5152123,v6-compute
"Nov 06, 2025",OPPO CPH2729,ARM ARMv8 1804 MHz (8 cores),1804.0,8,Android,OpenCL,OpenCL Score,2921,/v6/compute/5152122,v6-compute
"Nov 06, 2025",N/A RX16,AMD Ryzen 7 7735HS 3201 MHz (8 cores),3201.0,8,Windows,OpenCL,OpenCL Score,29191,/v6/compute/5152121,v6-compute
"Nov 06, 2025","iPhone18,1",ARM 4252 MHz (6 cores),4252.0,6,iOS,Metal,Metal Score,45197,/v6/compute/5152120,v6-compute
"Nov 06, 2025",Motorola Moto G54,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,159,/v6/compute/5152119,v6-compute
"Nov 06, 2025","Macmini8,1",Intel Core i5-1340P 2200 MHz (12 cores),2200.0,12,macOS,Metal,Metal Score,181498,/v6/compute/5152118,v6-compute
"Nov 06, 2025",Mac Pro (Late 2019),Intel Xeon W-3245 3200 MHz (16 cores),3200.0,16,macOS,Metal,Metal Score,135647,/v6/compute/5152117,v6-compute
"Nov 06, 2025","Mac15,14",Apple M3 Ultra 4054 MHz (28 cores),4054.0,28,macOS,OpenCL,OpenCL Score,126205,/v6/compute/5152116,v6-compute
"Nov 06, 2025",LENOVO 83DV,Intel Core i5-13450HX 2400 MHz (10 cores),2400.0,10,Windows,OpenCL,OpenCL Score,3553,/v6/compute/5152115,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7B49",Intel Core i5-8600K 3599 MHz (6 cores),3599.0,6,Windows,OpenCL,OpenCL Score,106142,/v6/compute/5152114,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7B47",Intel Core i5-8600K 3600 MHz (6 cores),3600.0,6,Windows,OpenCL,OpenCL Score,95804,/v6/compute/5152113,v6-compute
"Nov 06, 2025",Google Pixel 6a,ARM ARMv8 1803 MHz (8 cores),1803.0,8,Android,OpenCL,OpenCL Score,6607,/v6/compute/5152112,v6-compute
"Nov 06, 2025",iPhone 14 Pro Max,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,Metal,Metal Score,23179,/v6/compute/5152111,v6-compute
"Nov 06, 2025",iPhone 11,Apple A13 Bionic 2660 MHz (6 cores),2660.0,6,iOS,Metal,Metal Score,13875,/v6/compute/5152110,v6-compute
"Nov 06, 2025",System manufacturer System Product Name,AMD Ryzen Threadripper 3970X 4795 MHz (32 cores),4795.0,32,Linux,OpenCL,OpenCL Score,127762,/v6/compute/5152109,v6-compute
"Nov 06, 2025",samsung SM-E346B,ARM ARMv8 2002 MHz (8 cores),2002.0,8,Android,OpenCL,OpenCL Score,2301,/v6/compute/5152108,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7C37",AMD Ryzen 7 3700X 3600 MHz (8 cores),3600.0,8,Windows,OpenCL,OpenCL Score,32850,/v6/compute/5152107,v6-compute
"Nov 06, 2025","MacBookPro16,3",AMD Ryzen 9 5900HX 3300 MHz (8 cores),3300.0,8,macOS,OpenCL,OpenCL Score,10874,/v6/compute/5152106,v6-compute
"Nov 06, 2025","MacBook Pro (14-inch, 2024)",Apple M4 4414 MHz (10 cores),4414.0,10,macOS,OpenCL,OpenCL Score,38081,/v6/compute/5152105,v6-compute
"Nov 06, 2025",samsung SM-S936B,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,18438,/v6/compute/5152104,v6-compute
"Nov 06, 2025",iPhone 14,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,20342,/v6/compute/5152103,v6-compute
"Nov 06, 2025",iPad Air (5th generation),Apple M1 3190 MHz (8 cores),3190.0,8,iOS,Metal,Metal Score,33686,/v6/compute/5152102,v6-compute
"Nov 06, 2025 gcouegnat",System manufacturer System Product Name,AMD Ryzen Threadripper 3970X 3900 MHz (32 cores),3900.0,32,Linux,OpenCL,OpenCL Score,164711,/v6/compute/5152101,v6-compute
"Nov 06, 2025",ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop K6602VU_K6602VU,Intel Core i5-13500H 3192 MHz (12 cores),3192.0,12,Windows,OpenCL,OpenCL Score,62092,/v6/compute/5152100,v6-compute
"Nov 06, 2025",Xiaomi 23043RP34G,ARM Qualcomm 1804 MHz (8 cores),1804.0,8,Android,OpenCL,OpenCL Score,2884,/v6/compute/5152099,v6-compute
"Nov 06, 2025",ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop K3605VC_K3605VC,Intel Core i5-13420H 2100 MHz (8 cores),2100.0,8,Windows,OpenCL,OpenCL Score,7534,/v6/compute/5152098,v6-compute
"Nov 06, 2025",Xiaomi 25053RT47C,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,OpenCL,OpenCL Score,14038,/v6/compute/5152097,v6-compute
"Nov 06, 2025",iPad Air (5th generation),Apple M1 3190 MHz (8 cores),3190.0,8,iOS,Metal,Metal Score,33594,/v6/compute/5152096,v6-compute
"Nov 06, 2025","Mac15,14",Apple M3 Ultra 4054 MHz (28 cores),4054.0,28,macOS,Metal,Metal Score,212714,/v6/compute/5152095,v6-compute
"Nov 06, 2025",Xiaomi 24095PCADI,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,2494,/v6/compute/5152094,v6-compute
"Nov 06, 2025",MacBook Pro (15-inch Retina Mid 2015),Intel Core i7-4770HQ 2200 MHz (4 cores),2200.0,4,macOS,OpenCL,OpenCL Score,5091,/v6/compute/5152093,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4252 MHz (6 cores),4252.0,6,iOS,Metal,Metal Score,46034,/v6/compute/5152092,v6-compute
"Nov 06, 2025",samsung SM-S938B,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,Vulkan,Vulkan Score,16550,/v6/compute/5152091,v6-compute
"Nov 06, 2025","Gigabyte Technology Co., Ltd. Z690 GAMING X DDR4",Intel Core i7-12700K 3600 MHz (12 cores),3600.0,12,Windows,OpenCL,OpenCL Score,139440,/v6/compute/5152090,v6-compute
"Nov 06, 2025",QUALCOMM Lahaina for arm64,ARM ARMv8 1958 MHz (8 cores),1958.0,8,Android,OpenCL,OpenCL Score,2874,/v6/compute/5152089,v6-compute
"Nov 06, 2025",iPhone 15 Pro,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,Metal,Metal Score,7988,/v6/compute/5152088,v6-compute
"Nov 06, 2025 ranganaplus",Mac mini (2024),Apple M4 4412 MHz (10 cores),4412.0,10,macOS,OpenCL,OpenCL Score,38030,/v6/compute/5152087,v6-compute
"Nov 06, 2025",iPad Air (5th generation),Apple M1 3190 MHz (8 cores),3190.0,8,iOS,Metal,Metal Score,34015,/v6/compute/5152086,v6-compute
"Nov 06, 2025",Nothing A001,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,2495,/v6/compute/5152085,v6-compute
"Nov 06, 2025",iPhone 15 Pro,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,Metal,Metal Score,27971,/v6/compute/5152084,v6-compute
"Nov 06, 2025",samsung SM-S936B,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,Vulkan,Vulkan Score,25915,/v6/compute/5152083,v6-compute
"Nov 06, 2025",LENOVO 83DV,Intel Core i5-13450HX 2400 MHz (10 cores),2400.0,10,Windows,OpenCL,OpenCL Score,3869,/v6/compute/5152082,v6-compute
"Nov 06, 2025",OPPO PKB110,ARM ARMv8 2400 MHz (8 cores),2400.0,8,Android,OpenCL,OpenCL Score,21444,/v6/compute/5152081,v6-compute
"Nov 06, 2025","MacBook Pro (16-inch, 2021)",Apple M1 Max 2904 MHz (10 cores),2904.0,10,macOS,OpenCL,OpenCL Score,43318,/v6/compute/5152080,v6-compute
"Nov 06, 2025",Xiaomi Poco X3 Pro,Qualcomm Qualcomm 1785 MHz (8 cores),1785.0,8,Android,OpenCL,OpenCL Score,2956,/v6/compute/5152079,v6-compute
"Nov 06, 2025",ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop K3605VC_K3605VC,Intel Core i5-13420H 2100 MHz (8 cores),2100.0,8,Windows,OpenCL,OpenCL Score,52755,/v6/compute/5152078,v6-compute
"Nov 06, 2025","iPhone18,1",ARM 4259 MHz (6 cores),4259.0,6,iOS,Metal,Metal Score,45007,/v6/compute/5152077,v6-compute
"Nov 06, 2025","Mac16,13",Apple M4 4415 MHz (10 cores),4415.0,10,macOS,OpenCL,OpenCL Score,36179,/v6/compute/5152076,v6-compute
"Nov 06, 2025",Mac Pro (2023),Apple M2 Ultra 3363 MHz (24 cores),3363.0,24,macOS,OpenCL,OpenCL Score,134601,/v6/compute/5152075,v6-compute
"Nov 06, 2025",Xiaomi 25053RT47C,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,Vulkan,Vulkan Score,18831,/v6/compute/5152074,v6-compute
"Nov 06, 2025",motorola motorola edge 60 pro,ARM ARMv8 2200 MHz (8 cores),2200.0,8,Android,OpenCL,OpenCL Score,8911,/v6/compute/5152073,v6-compute
"Nov 06, 2025",ASUS System Product Name,Intel Core i9-13900KS 3200 MHz (24 cores),3200.0,24,Windows,OpenCL,OpenCL Score,222496,/v6/compute/5152072,v6-compute
"Nov 06, 2025",ASUS System Product Name,AMD Ryzen 5 9600X 3900 MHz (6 cores),3900.0,6,Windows,OpenCL,OpenCL Score,190992,/v6/compute/5152071,v6-compute
"Nov 06, 2025",ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1605VA_X1605VA,Intel Core i7-13700H 2400 MHz (14 cores),2400.0,14,Windows,OpenCL,OpenCL Score,12912,/v6/compute/5152070,v6-compute
"Nov 06, 2025",ASUS System Product Name,Intel Core i7-10700 2892 MHz (8 cores),2892.0,8,Windows,OpenCL,OpenCL Score,83081,/v6/compute/5152069,v6-compute
"Nov 06, 2025",iPhone SE (2nd generation),Apple A13 Bionic 2660 MHz (6 cores),2660.0,6,iOS,Metal,Metal Score,11193,/v6/compute/5152068,v6-compute
"Nov 06, 2025",Hewlett-Packard HP Z420 Workstation,Intel Xeon E5-1620 3590 MHz (4 cores),3590.0,4,Windows,OpenCL,OpenCL Score,32544,/v6/compute/5152067,v6-compute
"Nov 06, 2025",Sony Xperia 10 III Lite,ARM Qualcomm 1708 MHz (8 cores),1708.0,8,Android,OpenCL,OpenCL Score,951,/v6/compute/5152066,v6-compute
"Nov 06, 2025",Mac Pro (2023),Apple M2 Ultra 3363 MHz (24 cores),3363.0,24,macOS,Metal,Metal Score,233052,/v6/compute/5152065,v6-compute
"Nov 06, 2025","iMac (24-inch, 2023)",Apple M3 4055 MHz (8 cores),4055.0,8,macOS,Metal,Metal Score,49431,/v6/compute/5152064,v6-compute
"Nov 06, 2025",MacBook Pro (15-inch Retina Mid 2015),Intel Core i7-4770HQ 2200 MHz (4 cores),2200.0,4,macOS,OpenCL,OpenCL Score,5155,/v6/compute/5152063,v6-compute
"Nov 06, 2025",google Pixel 4,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,Vulkan,Vulkan Score,17215,/v6/compute/5152062,v6-compute
"Nov 06, 2025",iPhone 12,Apple A14 Bionic 2990 MHz (6 cores),2990.0,6,iOS,Metal,Metal Score,16749,/v6/compute/5152061,v6-compute
"Nov 06, 2025",iPhone X,Apple A11 Bionic 2390 MHz (6 cores),2390.0,6,iOS,Metal,Metal Score,5996,/v6/compute/5152060,v6-compute
"Nov 06, 2025",samsung SM-S931B,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,17237,/v6/compute/5152059,v6-compute
"Nov 06, 2025",samsung SM-X816B,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,OpenCL,OpenCL Score,7101,/v6/compute/5152058,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4241 MHz (6 cores),4241.0,6,iOS,Metal,Metal Score,45495,/v6/compute/5152057,v6-compute
"Nov 06, 2025",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,28168,/v6/compute/5152056,v6-compute
"Nov 06, 2025",iPhone 16 Pro,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,32698,/v6/compute/5152055,v6-compute
"Nov 06, 2025",iPhone 15 Pro,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,Metal,Metal Score,28087,/v6/compute/5152054,v6-compute
"Nov 06, 2025",iPad Pro 11-inch (M4),Apple M4 4406 MHz (9 cores),4406.0,9,iOS,Metal,Metal Score,55961,/v6/compute/5152053,v6-compute
"Nov 06, 2025","MacBook Air (15-inch, 2023)",Apple M2 3478 MHz (8 cores),3478.0,8,macOS,OpenCL,OpenCL Score,29818,/v6/compute/5152052,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4126 MHz (6 cores),4126.0,6,iOS,Metal,Metal Score,45492,/v6/compute/5152051,v6-compute
"Nov 06, 2025",Samsung Galaxy S24,ARM ARMv8 1959 MHz (10 cores),1959.0,10,Android,Vulkan,Vulkan Score,18243,/v6/compute/5152050,v6-compute
"Nov 06, 2025",HONOR LGN-LX1,ARM ARMv8 1900 MHz (8 cores),1900.0,8,Android,OpenCL,OpenCL Score,387,/v6/compute/5152049,v6-compute
"Nov 06, 2025",iPhone 14 Pro,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,Metal,Metal Score,23965,/v6/compute/5152048,v6-compute
"Nov 06, 2025",B450M-HDV R4.0,AMD Ryzen 5 5500 3600 MHz (6 cores),3600.0,6,Windows,OpenCL,OpenCL Score,61863,/v6/compute/5152047,v6-compute
"Nov 06, 2025",iPhone 15 Pro Max,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,Metal,Metal Score,27757,/v6/compute/5152046,v6-compute
"Nov 06, 2025","MacBook Pro (14-inch, Nov 2023)",Apple M3 Pro 4055 MHz (11 cores),4055.0,11,macOS,OpenCL,OpenCL Score,45359,/v6/compute/5152045,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4252 MHz (6 cores),4252.0,6,iOS,Metal,Metal Score,45898,/v6/compute/5152044,v6-compute
"Nov 06, 2025",Samsung Galaxy S21 FE,ARM ARMv8 2210 MHz (8 cores),2210.0,8,Android,OpenCL,OpenCL Score,3292,/v6/compute/5152043,v6-compute
"Nov 06, 2025",Xiaomi Poco X5 Pro,ARM redwood 1804 MHz (8 cores),1804.0,8,Android,OpenCL,OpenCL Score,2104,/v6/compute/5152042,v6-compute
"Nov 06, 2025",LENOVO TB520FU,ARM ARMv8 2265 MHz (8 cores),2265.0,8,Android,OpenCL,OpenCL Score,15143,/v6/compute/5152041,v6-compute
"Nov 06, 2025",iPhone 16 Pro,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,32015,/v6/compute/5152040,v6-compute
"Nov 06, 2025",iPad Pro (11-inch 3rd generation),Apple M1 3190 MHz (8 cores),3190.0,8,iOS,Metal,Metal Score,20950,/v6/compute/5152039,v6-compute
"Nov 06, 2025",iPad Pro (11-inch 3rd generation),Apple M1 3190 MHz (8 cores),3190.0,8,iOS,Metal,Metal Score,18326,/v6/compute/5152038,v6-compute
"Nov 06, 2025 nmiguelcosta",GIGABYTE GIGABYTE GAMING A16 3VH,AMD Ryzen 7 260 3801 MHz (8 cores),3801.0,8,Windows,OpenCL,OpenCL Score,118040,/v6/compute/5152037,v6-compute
"Nov 06, 2025",OnePlus CPH2747,Qualcomm ARMv8 3628 MHz (8 cores),3628.0,8,Android,OpenCL,OpenCL Score,23647,/v6/compute/5152036,v6-compute
"Nov 06, 2025",Xiaomi 2412DPC0AG,ARM ARMv8 2100 MHz (8 cores),2100.0,8,Android,OpenCL,OpenCL Score,10949,/v6/compute/5152035,v6-compute
"Nov 06, 2025","iPad17,4",ARM 4427 MHz (9 cores),4427.0,9,iOS,Metal,Metal Score,74080,/v6/compute/5152034,v6-compute
"Nov 06, 2025",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,26350,/v6/compute/5152033,v6-compute
"Nov 06, 2025",Lenovo TB710FU,ARM ARMv8 2265 MHz (6 cores),2265.0,6,Android,OpenCL,OpenCL Score,13708,/v6/compute/5152032,v6-compute
"Nov 06, 2025","iPhone18,1",ARM 4253 MHz (6 cores),4253.0,6,iOS,Metal,Metal Score,45896,/v6/compute/5152031,v6-compute
"Nov 06, 2025","iPhone17,5",ARM 4038 MHz (6 cores),4038.0,6,iOS,Metal,Metal Score,24046,/v6/compute/5152030,v6-compute
"Nov 06, 2025 nmiguelcosta",GIGABYTE GIGABYTE GAMING A16 3VH,AMD Ryzen 7 260 3801 MHz (8 cores),3801.0,8,Windows,OpenCL,OpenCL Score,117771,/v6/compute/5152029,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4253 MHz (6 cores),4253.0,6,iOS,Metal,Metal Score,45789,/v6/compute/5152028,v6-compute
"Nov 06, 2025",CASPER BILGISAYAR SISTEMLERI EXCALIBUR G870,Intel Core i7-13620H 2400 MHz (10 cores),2400.0,10,Windows,OpenCL,OpenCL Score,109785,/v6/compute/5152027,v6-compute
"Nov 06, 2025","MacBook Pro (14-inch, 2024)",Apple M4 Pro 4510 MHz (12 cores),4510.0,12,macOS,OpenCL,OpenCL Score,60715,/v6/compute/5152026,v6-compute
"Nov 06, 2025",MacBook Pro (13-inch Mid 2017),Intel Core i5-7360U 2300 MHz (2 cores),2300.0,2,macOS,OpenCL,OpenCL Score,6449,/v6/compute/5152025,v6-compute
"Nov 06, 2025 gcouegnat",Dell Inc. Precision 7960 Tower,Intel Xeon w7-3545 4600 MHz (24 cores),4600.0,24,Linux,OpenCL,OpenCL Score,89701,/v6/compute/5152024,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7D88",Intel Core i9-13900K 5500 MHz (24 cores),5500.0,24,Linux,Vulkan,Vulkan Score,152972,/v6/compute/5152023,v6-compute
"Nov 06, 2025","iPhone18,4",ARM 4223 MHz (6 cores),4223.0,6,iOS,Metal,Metal Score,38179,/v6/compute/5152022,v6-compute
"Nov 06, 2025",Xiaomi 25032RP42C,ARM ARMv8 1795 MHz (10 cores),1795.0,10,Android,Vulkan,Vulkan Score,21295,/v6/compute/5152021,v6-compute
"Nov 06, 2025",Xiaomi 2312DRAABG,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,1627,/v6/compute/5152020,v6-compute
"Nov 06, 2025",Samsung Galaxy S23 Ultra,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,OpenCL,OpenCL Score,9229,/v6/compute/5152019,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7D88",Intel Core i9-13900K 5500 MHz (24 cores),5500.0,24,Linux,OpenCL,OpenCL Score,182297,/v6/compute/5152018,v6-compute
"Nov 06, 2025",LG G8 ThinQ,Qualcomm Qualcomm 1785 MHz (8 cores),1785.0,8,Android,OpenCL,OpenCL Score,2704,/v6/compute/5152017,v6-compute
"Nov 06, 2025",iPad Pro (11-inch),Apple A12X Bionic 2490 MHz (8 cores),2490.0,8,iOS,Metal,Metal Score,17146,/v6/compute/5152016,v6-compute
"Nov 06, 2025",GEEKOM A9 Max,AMD Ryzen AI 9 HX 370 2000 MHz (12 cores),2000.0,12,Windows,OpenCL,OpenCL Score,42168,/v6/compute/5152015,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4251 MHz (6 cores),4251.0,6,iOS,Metal,Metal Score,45757,/v6/compute/5152014,v6-compute
"Nov 06, 2025",iPhone 13 Pro Max,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,21651,/v6/compute/5152013,v6-compute
"Nov 06, 2025",samsung SM-S721B,ARM ARMv8 1959 MHz (10 cores),1959.0,10,Android,OpenCL,OpenCL Score,13685,/v6/compute/5152012,v6-compute
"Nov 06, 2025",iPhone 15 Pro,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,Metal,Metal Score,27729,/v6/compute/5152011,v6-compute
"Nov 06, 2025",iPhone 13,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,9683,/v6/compute/5152010,v6-compute
"Nov 06, 2025",iPhone 13,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,12382,/v6/compute/5152009,v6-compute
"Nov 06, 2025",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,28008,/v6/compute/5152008,v6-compute
"Nov 06, 2025",MECHREVO CANGLONG Series,AMD Ryzen 9 9955HX 2500 MHz (16 cores),2500.0,16,Windows,Vulkan,Vulkan Score,7761,/v6/compute/5152007,v6-compute
"Nov 06, 2025","Mac17,2",Apple M5 4606 MHz (10 cores),4606.0,10,macOS,OpenCL,OpenCL Score,48625,/v6/compute/5152006,v6-compute
"Nov 06, 2025","Mac17,2",Apple M5 4606 MHz (10 cores),4606.0,10,macOS,OpenCL,OpenCL Score,48906,/v6/compute/5152005,v6-compute
"Nov 06, 2025 NAGJOZ",P-S ThinkBook,AMD Ryzen 5 7535HS 3301 MHz (6 cores),3301.0,6,Windows,Vulkan,Vulkan Score,14212,/v6/compute/5152004,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. MS-7E56",AMD Ryzen 9 9950X 4300 MHz (16 cores),4300.0,16,Windows,Vulkan,Vulkan Score,138152,/v6/compute/5152003,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4258 MHz (6 cores),4258.0,6,iOS,Metal,Metal Score,45747,/v6/compute/5152002,v6-compute
"Nov 06, 2025",Samsung Galaxy S8,ARMv8 1690 MHz (8 cores),1690.0,8,Android,OpenCL,OpenCL Score,1763,/v6/compute/5152001,v6-compute
"Nov 06, 2025","MacBook Pro (16-inch, 2021)",Apple M1 Max 2633 MHz (10 cores),2633.0,10,macOS,OpenCL,OpenCL Score,47775,/v6/compute/5152000,v6-compute
"Nov 06, 2025",samsung SM-G960F,ARMv8 1794 MHz (8 cores),1794.0,8,Android,OpenCL,OpenCL Score,1806,/v6/compute/5151999,v6-compute
"Nov 06, 2025",iPhone 12 Pro Max,Apple A14 Bionic 2990 MHz (6 cores),2990.0,6,iOS,Metal,Metal Score,16522,/v6/compute/5151998,v6-compute
"Nov 06, 2025",OnePlus CPH2747,Qualcomm ARMv8 3628 MHz (8 cores),3628.0,8,Android,OpenCL,OpenCL Score,23937,/v6/compute/5151997,v6-compute
"Nov 06, 2025",HP HP Laptop 15-da1xxx,Intel Core i5-8265U 1800 MHz (4 cores),1800.0,4,Windows,OpenCL,OpenCL Score,4506,/v6/compute/5151996,v6-compute
