Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Nov 06, 2025","VMware, Inc. VMware Virtual Platform",Intel Xeon Gold 6354 2992 MHz (4 cores),2992.0,4,Linux,,1417,4689,/v6/cpu/14887449,v6
"Nov 06, 2025",iPhone 12 Pro Max,Apple A14 Bionic 2990 MHz (6 cores),2990.0,6,iOS,,2158,4795,/v6/cpu/14887448,v6
"Nov 06, 2025",Samsung Galaxy S21 5G,ARM ARMv8 2210 MHz (8 cores),2210.0,8,Android,,1100,3195,/v6/cpu/14887447,v6
"Nov 06, 2025",iPhone 15 Pro Max,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,,2868,7133,/v6/cpu/14887446,v6
"Nov 06, 2025",iPhone 16 Pro Max,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,,3403,8567,/v6/cpu/14887445,v6
"Nov 06, 2025",iPhone 14 Pro Max,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,,2678,7096,/v6/cpu/14887444,v6
"Nov 06, 2025",Xiaomi 25053PC47G,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,,2068,6579,/v6/cpu/14887443,v6
"Nov 06, 2025","QEMU Standard PC (i440FX + PIIX, 1996)",AMD EPYC 7742 2245 MHz (1 cores),2245.0,1,Linux,,485,246,/v6/cpu/14887442,v6
"Nov 06, 2025",N/A,AMD EPYC 2549 MHz (4 cores),2549.0,4,Linux,,1795,4785,/v6/cpu/14887441,v6
"Nov 06, 2025 gcouegnat",System manufacturer System Product Name,Intel Xeon E5-2630 2800 MHz (6 cores),2800.0,6,Linux,gcouegnat,520,2527,/v6/cpu/14887440,v6
"Nov 06, 2025",N/A,AMD EPYC 2549 MHz (4 cores),2549.0,4,Linux,,1652,5093,/v6/cpu/14887439,v6
"Nov 06, 2025",Google Pixel 8,ARM ARMv8 1704 MHz (9 cores),1704.0,9,Android,,949,3215,/v6/cpu/14887438,v6
"Nov 06, 2025 novot",Standard Hardware (novotgamehosting.com),AMD Ryzen 7 5825U 4546 MHz (8 cores),4546.0,8,Linux,novot,1784,8414,/v6/cpu/14887437,v6
"Nov 06, 2025",Samsung Galaxy Note20 Ultra,ARMv8 2002 MHz (8 cores),2002.0,8,Android,,675,2561,/v6/cpu/14887436,v6
"Nov 06, 2025",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,,2810,8376,/v6/cpu/14887435,v6
"Nov 06, 2025",ASRock B760M-ITX/D4 WiFi,Intel Core i3-12100 3300 MHz (4 cores),3300.0,4,Windows,,2128,7195,/v6/cpu/14887434,v6
"Nov 06, 2025",Samsung Galaxy S22,ARM ARMv8 1785 MHz (8 cores),1785.0,8,Android,,964,2384,/v6/cpu/14887433,v6
"Nov 06, 2025",Xiaomi 25079RPDCC,ARM ARMv8 2400 MHz (8 cores),2400.0,8,Android,,2674,8289,/v6/cpu/14887432,v6
"Nov 06, 2025",N/A,AMD EPYC 2549 MHz (4 cores),2549.0,4,Linux,,1402,3597,/v6/cpu/14887431,v6
"Nov 06, 2025",OnePlus OPD2415,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,,3143,9687,/v6/cpu/14887430,v6
"Nov 06, 2025",HP HP ZBook Firefly 16 inch G10 Mobile Workstation PC,Intel Core i7-1365U 1800 MHz (10 cores),1800.0,10,Windows,,1581,6332,/v6/cpu/14887429,v6
"Nov 06, 2025",iPhone 16 Pro,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,,3574,8966,/v6/cpu/14887428,v6
"Nov 06, 2025",N/A,AMD EPYC 2546 MHz (4 cores),2546.0,4,Linux,,1440,4072,/v6/cpu/14887427,v6
"Nov 06, 2025",samsung SM-A566S,ARM ARMv8 1950 MHz (8 cores),1950.0,8,Android,,1371,3936,/v6/cpu/14887426,v6
"Nov 06, 2025",iPhone 16 Pro Max,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,,3466,8514,/v6/cpu/14887425,v6
"Nov 06, 2025",motorola moto g(7) plus,Qualcomm Qualcomm 1612 MHz (8 cores),1612.0,8,Android,,294,1012,/v6/cpu/14887424,v6
"Nov 06, 2025",ASUS System Product Name,AMD Ryzen 7 9800X3D 4700 MHz (8 cores),4700.0,8,Windows,,3548,18875,/v6/cpu/14887423,v6
"Nov 06, 2025",N/A,AMD EPYC 2549 MHz (4 cores),2549.0,4,Linux,,1392,4111,/v6/cpu/14887422,v6
"Nov 06, 2025","iPhone18,1",ARM 4258 MHz (6 cores),4258.0,6,iOS,,3883,9889,/v6/cpu/14887421,v6
"Nov 06, 2025","iPhone18,1",ARM 4252 MHz (6 cores),4252.0,6,iOS,,3901,10005,/v6/cpu/14887420,v6
"Nov 06, 2025",iPhone 14 Pro Max,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,,2655,6775,/v6/cpu/14887419,v6
"Nov 06, 2025",N/A RX16,AMD Ryzen 7 7735HS 3201 MHz (8 cores),3201.0,8,Windows,,1870,8223,/v6/cpu/14887418,v6
"Nov 06, 2025","QEMU Standard PC (i440FX + PIIX, 1996)",AMD EPYC 9654 2396 MHz (2 cores),2396.0,2,Linux,,1302,1295,/v6/cpu/14887417,v6
"Nov 06, 2025","iPhone18,1",ARM 4252 MHz (6 cores),4252.0,6,iOS,,3901,10005,/v6/cpu/14887416,v6
"Nov 06, 2025",Samsung Galaxy S23 Ultra,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,,1605,4540,/v6/cpu/14887415,v6
"Nov 06, 2025",iPhone 16 Pro Max,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,,3471,8837,/v6/cpu/14887414,v6
"Nov 06, 2025",iPhone 13 Pro Max,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,,2388,5007,/v6/cpu/14887413,v6
"Nov 06, 2025",Xiaomi Poco X6 Pro,ARM ARMv8 2200 MHz (8 cores),2200.0,8,Android,,1355,4104,/v6/cpu/14887412,v6
"Nov 06, 2025",Mac Pro (2023),Apple M2 Ultra 3363 MHz (24 cores),3363.0,24,macOS,,2654,21653,/v6/cpu/14887411,v6
"Nov 06, 2025",Xiaomi 2407FPN8EG,ARM ARMv8 2000 MHz (8 cores),2000.0,8,Android,,2150,6761,/v6/cpu/14887410,v6
"Nov 06, 2025","iMacPro1,1","Intel Core (Skylake, IBRS, no TSX) 4300 MHz (8 cores)",4300.0,8,macOS,,2779,12051,/v6/cpu/14887409,v6
"Nov 06, 2025","Mac15,12",Apple M3 4055 MHz (8 cores),4055.0,8,macOS,,3158,11866,/v6/cpu/14887408,v6
"Nov 06, 2025",Samsung Galaxy S23,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,,1991,5140,/v6/cpu/14887407,v6
"Nov 06, 2025","iPad Pro (11-inch, 4th generation)",Apple M2 3490 MHz (8 cores),3490.0,8,iOS,,2630,9897,/v6/cpu/14887406,v6
"Nov 06, 2025",Supermicro Super Server,Intel Xeon E3-1230 v6 3900 MHz (4 cores),3900.0,4,Linux,,1328,3901,/v6/cpu/14887405,v6
"Nov 06, 2025",iPhone 13 Pro Max,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,,2498,6137,/v6/cpu/14887404,v6
"Nov 06, 2025",Xiaomi 25060RK16C,ARM ARMv8 2400 MHz (8 cores),2400.0,8,Android,,2529,7230,/v6/cpu/14887403,v6
"Nov 06, 2025",samsung SM-S938U1,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,,3179,9999,/v6/cpu/14887402,v6
"Nov 06, 2025 neuromask",iPhone 11 Pro Max,Apple A13 Bionic 2660 MHz (6 cores),2660.0,6,iOS,neuromask,1768,3079,/v6/cpu/14887401,v6
"Nov 06, 2025",Synology DS425+,Intel Celeron J4125 2001 MHz (4 cores),2001.0,4,Linux,,360,1027,/v6/cpu/14887400,v6
"Nov 06, 2025",Xiaomi 2412DPC0AG,ARM ARMv8 2100 MHz (8 cores),2100.0,8,Android,,1535,6229,/v6/cpu/14887399,v6
"Nov 06, 2025",N/A,AMD EPYC 2249 MHz (4 cores),2249.0,4,Linux,,1936,6025,/v6/cpu/14887398,v6
"Nov 06, 2025",ASUS All Series,Intel Core i5-4670K 3397 MHz (4 cores),3397.0,4,Windows,,1218,3471,/v6/cpu/14887397,v6
"Nov 06, 2025",iPhone 11 Pro Max,Apple A13 Bionic 2660 MHz (6 cores),2660.0,6,iOS,,1768,3079,/v6/cpu/14887396,v6
"Nov 06, 2025",Xiaomi Poco F3,ARM Qualcomm 1804 MHz (8 cores),1804.0,8,Android,,1085,3089,/v6/cpu/14887395,v6
"Nov 06, 2025",iPhone 16 Pro Max,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,,3446,8300,/v6/cpu/14887394,v6
"Nov 06, 2025",samsung SM-S936N,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,,3016,9661,/v6/cpu/14887393,v6
"Nov 06, 2025",Virtuozzo OpenStack Compute,"Intel Core (Broadwell, no TSX, IBRS) 2099 MHz (4 cores)",2099.0,4,Linux,,711,2297,/v6/cpu/14887392,v6
"Nov 06, 2025",iPhone 14 Pro,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,,2674,6906,/v6/cpu/14887391,v6
"Nov 06, 2025",HONOR PTP-AN00,Qualcomm SM8750 3532 MHz (8 cores),3532.0,8,Android,,2892,8775,/v6/cpu/14887390,v6
"Nov 06, 2025",motorola motorola razr 40 ultra,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,,663,2042,/v6/cpu/14887389,v6
