Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Oct 25, 2025","iPad17,3",ARM 4411 MHz (10 cores),4411.0,10,iOS,,4195,16649,/v6/cpu/14657357,v6
"Nov 06, 2025","iPad17,4",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4194,15717,/v6/cpu/14887293,v6
"Nov 05, 2025","iPad17,3",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4194,15832,/v6/cpu/14863962,v6
"Nov 04, 2025","iPad17,1",ARM 4417 MHz (9 cores),4417.0,9,iOS,,4194,15560,/v6/cpu/14845755,v6
"Nov 04, 2025","iPad17,1",ARM 4428 MHz (9 cores),4428.0,9,iOS,,4194,15863,/v6/cpu/14838557,v6
"Nov 01, 2025","iPad17,1",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4194,15534,/v6/cpu/14784947,v6
"Oct 29, 2025","iPad17,2",ARM 4423 MHz (9 cores),4423.0,9,iOS,,4194,15738,/v6/cpu/14735793,v6
"Oct 26, 2025","iPad17,1",ARM 4426 MHz (10 cores),4426.0,10,iOS,,4194,16780,/v6/cpu/14671703,v6
"Oct 26, 2025","iPad17,3",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4194,15689,/v6/cpu/14670338,v6
"Oct 25, 2025","Mac17,2",Apple M5 4577 MHz (10 cores),4577.0,10,macOS,,4194,17378,/v6/cpu/14652792,v6
"Oct 21, 2025","Mac17,2",Apple M5 4607 MHz (10 cores),4607.0,10,macOS,,4194,17341,/v6/cpu/14572178,v6
"Nov 04, 2025","iPad17,1",ARM 4422 MHz (9 cores),4422.0,9,iOS,,4193,15851,/v6/cpu/14849028,v6
"Nov 04, 2025","iPad17,1",ARM 4422 MHz (9 cores),4422.0,9,iOS,,4193,15598,/v6/cpu/14837270,v6
"Nov 03, 2025","iPad17,1",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4193,16854,/v6/cpu/14829589,v6
